Document Category,Vector PDFs (Clean),Lossless PNGs (4 Profiles),Compressed JPEGs (4 Profiles),Total Evaluated Specimens
Academic Certificate,20 PDFs,70 PNGs (Clean/Scan/Mob/Rot),70 JPEGs (Clean/Scan/Mob/Rot),"160 Specimens (3,200 Fields)"
Semester Marksheet,20 PDFs,70 PNGs (Clean/Scan/Mob/Rot),70 JPEGs (Clean/Scan/Mob/Rot),"160 Specimens (3,200 Fields)"
Student ID Card,10 PDFs,60 PNGs (Clean/Scan/Mob/Rot),60 JPEGs (Clean/Scan/Mob/Rot),"130 Specimens (2,600 Fields)"
Total Multi-Modal Suite,50 Vector PDFs,200 Lossless PNGs,200 Compressed JPEGs,"450 Synthetic Document Specimens (9,000 Fields)"
